INFO 2024-07-25 15:14:11,892 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-25 15:14:12,452 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1721725585.578716
DEBUG 2024-07-25 15:14:12,453 autoreload File C:\Python312\DLLs\_sqlite3.pyd first seen with mtime 1707236752.0
DEBUG 2024-07-25 15:14:12,453 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\files\utils.py first seen with mtime 1721725585.4814553
DEBUG 2024-07-25 15:14:12,454 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\PIL\_version.py first seen with mtime 1721725572.2399008
DEBUG 2024-07-25 15:14:12,455 autoreload File C:\Python312\Lib\wsgiref\handlers.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,455 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\rest_framework\negotiation.py first seen with mtime 1721725594.9870956
DEBUG 2024-07-25 15:14:12,455 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\test\client.py first seen with mtime 1721725585.8963625
DEBUG 2024-07-25 15:14:12,455 autoreload File C:\Python312\Lib\pathlib.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,456 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1721725595.111992
DEBUG 2024-07-25 15:14:12,456 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1721725582.3319464
DEBUG 2024-07-25 15:14:12,456 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1721725585.8590872
DEBUG 2024-07-25 15:14:12,457 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1721725585.4238403
DEBUG 2024-07-25 15:14:12,457 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\backends\postgresql\psycopg_any.py first seen with mtime 1721725585.6448371
DEBUG 2024-07-25 15:14:12,457 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1721725586.010708
DEBUG 2024-07-25 15:14:12,457 autoreload File C:\Python312\DLLs\_wmi.pyd first seen with mtime 1707236752.0
DEBUG 2024-07-25 15:14:12,458 autoreload File C:\Users\USER\Desktop\Team-6-project\dash\apps.py first seen with mtime 1721725845.3744981
DEBUG 2024-07-25 15:14:12,458 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1721725585.7018712
DEBUG 2024-07-25 15:14:12,458 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\corsheaders\middleware.py first seen with mtime 1721725598.6322355
DEBUG 2024-07-25 15:14:12,459 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\urls\converters.py first seen with mtime 1721725585.9114428
DEBUG 2024-07-25 15:14:12,459 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\enums.py first seen with mtime 1721725585.6870677
DEBUG 2024-07-25 15:14:12,459 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1721725586.030926
DEBUG 2024-07-25 15:14:12,459 autoreload File C:\Python312\Lib\urllib\request.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,459 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\db\models\constants.py first seen with mtime 1721725585.684319
DEBUG 2024-07-25 15:14:12,460 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1721725564.1000226
DEBUG 2024-07-25 15:14:12,460 autoreload File C:\Python312\Lib\email\mime\multipart.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,460 autoreload File C:\Python312\Lib\weakref.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,460 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\checks\database.py first seen with mtime 1721725585.4574568
DEBUG 2024-07-25 15:14:12,460 autoreload File C:\Python312\Lib\asyncio\trsock.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,461 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1721725585.55357
DEBUG 2024-07-25 15:14:12,461 autoreload File C:\Python312\Lib\multiprocessing\__init__.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,462 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1721725595.1129987
DEBUG 2024-07-25 15:14:12,462 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1721725585.48046
DEBUG 2024-07-25 15:14:12,462 autoreload File C:\Python312\Lib\asyncio\subprocess.py first seen with mtime 1707236718.0
DEBUG 2024-07-25 15:14:12,462 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1721725581.550447
DEBUG 2024-07-25 15:14:12,462 autoreload File C:\Users\USER\Desktop\Team-6-project\env\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1721725585.4724622
